,id,text,annotations,meta,annotation_approver,Unnamed: 5,Unnamed: 6,Unnamed: 7,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7
13,888031,bé 8 kí mặc vô lằn đỏ hai hông bỉm nhỏ_bé mặc không thoải hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 13968, 'comment': 'bé nhà mình mới 8 kí mà mặc vô bị lằn đỏ hết hai bên hông, bỉm khá nhỏ bé mặc không thoải mái', 'summary': 'Không hài lòng', 'annotations': {'28': ['chất lượng -'], '19': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
14,888030,ok tầm kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 13376, 'comment': 'OK trong tầm giá', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '30': ['giá +']}}",,,,,0,0,0,0,0,0,1
17,888027,hài_lòng kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1165, 'comment': 'rất hài lòng 🤪', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '17': ['other']}}",,,,,0,0,0,0,0,0,1
19,888025,đóng_gói cẩn_thận hàng kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 334, 'comment': 'đóng gói cẩn thận, hàng tốt!', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['ship +'], '25': ['chất lượng +', 'dịch vụ +']}}",,,,,1,0,0,1,0,0,0
20,888024,59k co balo đẹp hú kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 13510, 'comment': 'chỉ 59k là co ngay balo đẹp hú hôn', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['trash'], '30': ['chất lượng +', 'giá +']}}",,,,,0,0,0,0,0,0,0
21,888023,tã mỏng tã mua mùi thơm hơi tã mua không mùi cảm_giác tã mua an_toàn dễ_chịu tã,"[{'label': 322, 'user': 15}]","{'review_id': 1149, 'comment': 'Tã mỏng hơn tã mình mua bên ngoài, có mùi thơm nhưng hơi nặng trong khi tã mua bên ngoài không có mùi, cảm giác sử dụng tã mua bên ngoài an toàn và dễ chịu hơn khi dùng tã trên Tiki.', 'summary': 'Hài lòng', 'annotations': {'28': ['an toàn -', 'chất lượng -'], '17': ['chất lượng -'], '20': ['trash', 'an toàn -', 'chất lượng +', 'chất lượng -'], '25': ['chất lượng -', 'chất lượng +'], '19': ['an toàn -', 'chất lượng +']}}",,,,,0,0,0,1,0,0,0
22,888022,bé tã bobby thun co_giãn tốt chống hăm tiki giảm_giá quà gói tiki now giao hàng cực_kỳ nhanh phẩm tốt quà đẹp giá tốt,"[{'label': 327, 'user': 15}, {'label': 317, 'user': 15}, {'label': 325, 'user': 15}, {'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14252, 'comment': 'Bé nhà mình xài tã Bobby từ nhỏ, thun co giãn tốt, chống hăm. Tiki bán hay giảm giá lại có quà. Có thêm gói Tiki Now giao hàng cực kỳ nhanh. Rất thích!', 'summary': 'Sản phẩm tốt, quà đẹp, giá tốt', 'annotations': {'28': ['chất lượng +', 'ship +', 'an toàn +', 'giá +'], '19': ['ship +', 'dịch vụ +', 'giá +', 'chất lượng +']}}",,,,,1,1,0,1,1,1,0
23,888021,vết dơ góc không balo tiện_lợi ngăn đồ trẻ ngăn ấm sữa sữa ấm 2 tiếng dĩ_nhiên nguội bớt đi ấm ấm bé thank phẩm oke,"[{'label': 315, 'user': 15}]","{'review_id': 14719, 'comment': 'Lúc nhận thì có vết dơ ở góc nhưng ko sao. Balo khá tiện lợi, nhiều ngăn nhỏ để đồ cho trẻ, nhất là ngăn giữ ấm mình. dùng để giữ sữa cho con. Mình bỏ sữa vào giữ ấm được 2 tiếng, dĩ nhiên là có nguội bớt đi nhưng vẫn còn ấm ấm cho bé dùng. Thank shop.', 'summary': 'Sản phẩm ok', 'annotations': {'28': ['chất lượng +', 'dịch vụ +'], '29': ['chất lượng +']}}",,,,,0,0,0,0,0,0,0
25,888019,sp tốt mua tiki ủng_hộ kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 12667, 'comment': 'Sp dùng thích tốt đã mua của tiki ba lần , vẫn muốn tiếp tục ủng hộ tiki', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '29': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
26,888018,tiki đóng_gói gọn combo 3 gói ; giá hài kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 14050, 'comment': 'Tiki đóng gói rất gọn combo 3 gói; giá rất hài lòng', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['giá +', 'ship +'], '19': ['giá +', 'ship +']}}",,,,,1,1,0,0,0,0,0
27,888017,huggies chẳng lăng đi mẫu tã tã huggie mẫu thiết_kế lưng thun 4 chiều cực bé không bì hằn đỏ mềm_mại ôm sát bụng giúp bé thỏa_mái vận_động không sợ đau rát tràn đùi êm nha 5 * đệm mây ! vận_chuyển nhanh hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13471, 'comment': 'Từ ngày dùng Huggies mình chẳng còn lăng tăng đi chọn mẫu tã mới. Tã Huggie dùng đã thích rồi nay có mẫu mới với thiết kế lưng thun 4 chiều lại cực thích hơn. Bé dùng không bì hằn đỏ, mềm mại ôm sát bụng. Giúp bé thỏa mái vận động và không sợ đau rát hay tràn ra ngoài. Nay đùi cũng rất êm nha, 5* cho đệm mây!  Vận chuyển nhanh, thanks', 'summary': 'RẤT HÀI LÒNG', 'annotations': {'19': ['ship +', 'chất lượng +'], '30': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
28,888016,đặt_hàng màu trắng đỏ giao hàng màu xanh đựng quần_áo không như sản_phẩm trang_web toàn lừa không hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 13888, 'comment': 'Đặt hàng màu trắng đỏ, giao hàng màu xanh đậm.\nbalo này dành cho đựng quần áo chứ không giống như sản phẩm trong trang web. Toàn là lừa đảo.', 'summary': 'Rất không hài lòng', 'annotations': {'19': ['other'], '30': ['dịch vụ -']}}",,,,,0,0,0,0,0,0,0
29,888015,mua bé giá_cả đóng_gói cẩn_thận giao hàng,"[{'label': 319, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 14694, 'comment': 'Mình mua rất nhiều lần cho bé nhà mình, giá cả phải chăng, đóng gói cẩn thận, giao hàng khá nhanh,', 'summary': 'Hài lòng', 'annotations': {'28': ['ship +', 'giá +'], '29': ['ship +', 'dịch vụ +', 'giá +']}}",,,,,1,1,0,0,0,0,0
30,888014,bỉm thấm hút kém tràn mặc loại bỉm không mặc bỉm bobby y_như ràng tràn dính quần mặc_dù bỉm chưa vần tràn mặc ị tràn r bực tiếc tiền kinh không hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 435, 'comment': 'Bỉm thấm hút kém. Dễ tràn. Mặc các loại bỉm khác không sao. Cứ mặc bỉm bobby này là y như ràng tràn ra dính quần, mặc dù bỉm chưa đầy nhưng vần tràn. Thậm chí mới mặc mà em ị cũng đã tràn r. Dùng mà vừa dùng vừa bực. Tiếc tiền kinh khủng.', 'summary': 'Rất không hài lòng', 'annotations': {'28': ['giá -', 'chất lượng -'], '20': ['chất lượng -', 'trash'], '25': ['chất lượng -', 'giá -']}}",,,,,0,0,0,1,0,0,0
31,888013,sữa dịu mùi thơm bé uống tiêu_hóa tiki giá rẻ coupon giảm_giá !,"[{'label': 325, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 13936, 'comment': 'Sữa ngọt dịu. mùi thơm. bé dễ uống. dễ tiêu hóa. Tiki bán giá rẻ và còn được coupon giảm giá. quá thích! Cảm ơn tiki', 'summary': 'Tốt. Nên dùng', 'annotations': {'28': ['giá +', 'chất lượng +'], '19': ['dịch vụ +', 'giá +', 'chất lượng +']}}",,,,,0,1,0,1,1,0,0
32,888012,sản_phẩm tốt hài_lòng mua kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 2394, 'comment': 'sp tốt, hài lòng.đã mua lại lần 2', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '28': ['chất lượng +']}}",,,,,0,0,0,0,0,0,1
35,888009,chất_lượng kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 632, 'comment': 'Chất lượng ok', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['trash'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
36,888008,đóng_gói kĩ hàng chất_lượng uy_tín như kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 1609, 'comment': 'đóng gói kĩ hàng có chất lượng và uy tín như đã nói', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +'], '17': ['chất lượng +', 'chính hãng +', 'ship +']}}",,,,,1,0,1,1,0,0,0
38,888006,sản_phẩm tốt thấm hút tốt gọn_nhẹ chất_lượng vời,"[{'label': 321, 'user': 15}]","{'review_id': 77, 'comment': 'Sản phẩm tốt, thấm hút tốt, gọn nhẹ và chất lượng cao', 'summary': 'Tuyệt vời', 'annotations': {'19': ['chất lượng +'], '20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
39,888005,sp kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 13998, 'comment': 'Sp dùng êm', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '19': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
41,888003,hàng kém chất_lượng thất_vọng không hài_lòng,"[{'label': 322, 'user': 15}]","{'review_id': 13866, 'comment': 'hàng kém chất lượng thất vọng quá không có lần sau', 'summary': 'Không hài lòng', 'annotations': {'19': ['chất lượng -'], '30': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
42,888002,giao hàng gói sản_phẩm cẩn_thận tã dán nb huggies bé sơ_sinh kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 1426, 'comment': 'giao hàng nhanh,đóng gói sản phẩm cẩn thận, tã dán NB huggies khá mềm.\ndùng cho bé sơ sinh rất ok', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +', 'ship +'], '17': ['chất lượng +', 'ship +'], '20': ['ship +'], '25': ['dịch vụ +', 'ship +']}}",,,,,1,0,0,1,0,0,0
43,888001,giao hàng tốt đúng như mô_tả ủng_hộ shop kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 1124, 'comment': 'giao hàng nhanh.giay tốt đúng như mô tả lần sau sẽ ủng hộ shop nhiều', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['typo', 'ship +', 'other', 'chính hãng +', 'trash'], '17': ['typo'], '20': ['typo', 'ship +'], '25': ['chất lượng +', 'ship +', 'typo'], '19': ['typo', 'ship +']}}",,,,,0,0,0,0,0,0,0
46,887998,mua combo 3 bịch bỉm đại tiki giao hàng nhanh hôm tặng kèm đồ_chơi tàu_hỏa gỗ hàng không kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 326, 'user': 15}]","{'review_id': 13038, 'comment': 'mình đã mua combo 3 bịch bỉm đại. tiki giao hàng rất nhanh nhưng hôm đặt mình có thấy được tặng kèm bộ đồ chơi tàu hỏa bằng gỗ mà nhận hàng không thấy có.', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['dịch vụ -', 'ship +'], '30': ['dịch vụ -', 'ship +']}}",,,,,1,0,0,0,1,0,0
47,887997,bỉm thấm hút tốt bỉm quần bé lằn tã dán oke,"[{'label': 322, 'user': 15}]","{'review_id': 14621, 'comment': 'Bỉm thấm hút tốt, nhưng dùng bỉm quần bé bị lằn, còn tã dán thì ok hơn', 'summary': 'Bình thường', 'annotations': {'28': ['an toàn -', 'chất lượng +'], '29': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
49,887995,bé chủ_yếu không mùi tã hơi,"[{'label': 322, 'user': 15}]","{'review_id': 13661, 'comment': 'Bé nhà mình từ nhỏ chủ yếu dùng Huggies, tuy nhiên mình không thích mùi của tã, hơi nồng', 'summary': 'Tốt', 'annotations': {'19': ['chất lượng -'], '30': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
50,887994,giao nhanh dự,"[{'label': 319, 'user': 15}]","{'review_id': 13674, 'comment': 'Giao nhanh hơn ngày dự kiến.', 'summary': 'Hài lòng', 'annotations': {'19': ['ship +'], '30': ['ship +']}}",,,,,1,0,0,0,0,0,0
51,887993,mua 3 bịch bỉm thanh_toán đủ tiền quà đủ bỉm giao 1 bịch gọi điện_thoại tổng_đài đợi 1 bịch bỉm,"[{'label': 325, 'user': 15}, {'label': 320, 'user': 15}]","{'review_id': 13340, 'comment': 'Mua 3 bịch bỉm thanh toán đủ tiền\n Quà thì đã nhận đủ\nbỉm thì giao thiếu 1 bịch\nđã gọi đt tổng đài và đang đợi chuyển trả 1 bịch bỉm \n🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔.', 'summary': 'Hài lòng', 'annotations': {'23': ['ship -'], '30': ['dịch vụ -']}}",,,,,1,0,0,0,1,0,0
52,887992,giao hàng cực nhanh đóng_gói chắc_chắn kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 1139, 'comment': 'Giao hàng cực nhanh. Đóng gói chắc chắn. Good!', 'summary': 'Cực kì hài lòng', 'annotations': {'17': ['ship +'], '20': ['ship +'], '25': ['dịch vụ +', 'ship +']}}",,,,,1,0,0,0,0,0,0
53,887991,bữa_nay shop đóng_gói xấu không hài_lòng,"[{'label': 320, 'user': 15}]","{'review_id': 13263, 'comment': 'sao bữa nay shop đóng gói xấu quá. mới nhận nên k biết bên trong sao nữa', 'summary': 'Không hài lòng', 'annotations': {'23': ['ship -'], '30': ['dịch vụ -']}}",,,,,1,0,0,0,0,0,0
54,887990,bỉm thoáng mỏng cảm_giác bé mặc dễ_chịu tè ít khô_ráo bỉm mỏng không bé tè đêm dậy 1 bỉm bõng bõng ( không tràn ) bé 9kg bắp_đùi to mặc kích_thước,"[{'label': 321, 'user': 15}]","{'review_id': 1263, 'comment': 'Bỉm khá thoáng, mỏng, cảm giác bé mặc rất dễ chịu, tè ít thì khô ráo. tuy nhiên do bỉm mỏng nên k phù hợp khi bé tè nhiều về đêm, sáng dậy 1 bỉm bõng bõng nước (nhưng k bị tràn ra ngoài). bé mình 9kg, bắp đùi khá to nên mặc size XL', 'summary': 'Hài lòng', 'annotations': {'17': ['chất lượng +'], '20': ['chất lượng +', 'other'], '25': ['chất lượng +'], '19': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
55,887989,toàn mua combo 2 cháu giá cạnh_tranh cộng đóng_gói vận_chuyển tiki tốt vô kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 14052, 'comment': 'Mình toàn mua combo này cho 2 cháu ở nhà do giá cạnh tranh + đóng gói và vận chuyển của tiki tốt vô cùng.', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship +', 'giá +'], '19': ['ship +', 'giá +']}}",,,,,1,1,0,0,0,0,0
56,887988,giao hàng nhanh quà tặng đẹp chất_lượng sữa chưa thử không kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 325, 'user': 15}]","{'review_id': 13574, 'comment': 'Giao hàng nhanh quà tặng đẹp chất lượng sữa mình chưa thử nên ko biết', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['dịch vụ +', 'ship +'], '30': ['dịch vụ +', 'ship +']}}",,,,,1,0,0,0,1,0,0
58,887986,hàng_y hình ủng_hộ shop tiki kì hài_lòng,"[{'label': 323, 'user': 15}]","{'review_id': 12928, 'comment': 'Hàng y hình, thích, sẽ ủng hộ tiếp tục. Cảm ơn shop và tiki ❤️', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['chính hãng +'], '29': ['chất lượng +']}}",,,,,0,0,1,0,0,0,0
59,887985,sản_phẩm tiện_lợi mẫu_mã bắt_mắt quần bé,"[{'label': 321, 'user': 15}]","{'review_id': 14514, 'comment': 'Sản phẩm tiện lợi cho người dùng, mẫu mã bắt mắt, dễ sử dụng .', 'summary': 'Tả quần em bé', 'annotations': {'28': ['chất lượng +'], '29': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
61,887983,sản phầm 5 phục_vụ tiki 2 đơn hàng giao nhanh 2h - - -> giao hàng chuẩn như cam_kết chưa ổn : - 2 hang giao nhanh đăc hàng giao nhanh bụi bẩn 3 lon enfa móp méo 2 lon nắp bụi - hai chương_trình khuyến_mại : mua 1 lon tặng gối 3 lon tặng bàn học ( tiki ghi quà ... ) chưa hợp_lý quà không tiki cài hệ_thống báo khách_hàng thông_báo kiểu không lầm định 1 lon cố 3 lon chương_trình hàng hơi thất_trình khuyến_mại không rõ_ràng,"[{'label': 322, 'user': 15}, {'label': 326, 'user': 15}, {'label': 320, 'user': 15}]","{'review_id': 14551, 'comment': 'Tôi đánh giá sản phầm 5 sao, nhưng cách phục vụ của TIKI chỉ cho 2 sao\nĐơn hàng này được giao nhanh 2h ---> Về thời gian giao hàng chuẩn như cam kết\nCó điều tôi thấy một số điểm chưa ổn:\n- Đây là lần thứ 2 tôi đặt hang giao nhanh, và thấy đăc điểm chung của hàng giao nhanh là bụi và bẩn, không những vậy lần này đặt 3 lon Enfa thì móp méo những 2 lon và nắp thì khá nhiều bụi\n- Thứ hai là về chương trình khuyến mại: Mua 1 lon tặng cái gối bông, còn 3 lon thì tặng bàn học (TIKI có ghi là cho đến khi hết quà...) nhưng tôi thấy điều này chưa hợp lý vì việc biết còn quà hay không TIKI có thể hoàn toàn cài trên hệ thống và báo cho khách hàng khi đặt hoặc bỏ luôn những thông báo kiểu như vậy để k gây hiểu lầm. Tôi định đặt 1 lon nhưng lại cố đặt luôn 3 lon vì có chương trình và khi nhận hàng hơi thất vọng', 'summary': 'Chương trình khuyến mại không rõ ràng', 'annotations': {'28': ['an toàn -', 'ship -', 'chất lượng +', 'dịch vụ -'], '29': ['dịch vụ -', 'chất lượng +']}}",,,,,1,0,0,1,1,0,0
62,887982,giao hàng chậm ( 1 tuần ) bỉm kích_thước bé 9kg xl i mom cân_nhắc kích_thước bé ko vạch báo tả tràn bỉm mỏng đồ_chơi_đẹp,"[{'label': 322, 'user': 15}, {'label': 325, 'user': 15}, {'label': 320, 'user': 15}]","{'review_id': 13386, 'comment': 'Giao hàng chậm ( 1 tuần ) \nBỉm này size nhỏ, bé 9kg mình đặt xl vừa i, các mom cân nhắc lên size cho bé\nKo có vạch báo tả tràn, bỉm mỏng\nĐồ chơi đẹp, con mình thích', 'summary': 'Bình thường', 'annotations': {'23': ['dịch vụ +', 'chất lượng -', 'ship -'], '30': ['chất lượng -', 'dịch vụ +', 'ship -']}}",,,,,1,0,0,1,1,0,0
63,887981,mua tặng kèm hộp thủy_tinh không hài_lòng,"[{'label': 326, 'user': 15}]","{'review_id': 1629, 'comment': 'lúc mua có để tặng kèm cái hộp thủy tinh mà khi nhận không có. chán', 'summary': 'Không hài lòng', 'annotations': {'28': ['dịch vụ -'], '17': ['dịch vụ -'], '20': ['dịch vụ -'], '25': ['dịch vụ -']}}",,,,,0,0,0,0,1,0,0
65,887979,bỉm hạn đóng_gói cẩn_thận kích_thước l trẻ 9kg 14kg bé 10.5 kg mặc_cảm_giác chật ( bobby l mặc thoải_mái ) bobby mùi hương dễ_chịu vốn cục 2 đều không tràn ý_kiến tả bobby chất_lượng xét sản_phẩm bobby,"[{'label': 322, 'user': 15}, {'label': 319, 'user': 15}, {'label': 327, 'user': 15}]","{'review_id': 1447, 'comment': 'bỉm mới date xa, đóng gói cẩn thận, size L trẻ từ 9kg đến 14kg, bé ở nhà chỉ 10.5kg nhưng mặc cảm giác chật (bobby L mặc vừa thoải mái). Nếu so với bobby thì mùi hương dễ chịu hơn nhưng vốn cục hơn cả 2 đều không bị tràn. Ý kiến cá nhân tả bobby chất lượng hơn.', 'summary': 'Nhận xét sản phẩm so với bobby', 'annotations': {'17': ['chất lượng -', 'an toàn +', 'ship +'], '20': ['chất lượng -', 'ship +', 'an toàn +'], '25': ['chất lượng -', 'dịch vụ +']}}",,,,,1,0,0,1,0,1,0
66,887978,tã quần_bobby gói cực_đại l54 tốt sạch_sẽ thoáng mát quần_bobby gói cực_đại_l54,"[{'label': 327, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12855, 'comment': 'Tã Quần Bobby Gói Cực Đại L54 sử dụng tốt sạch sẽ thoáng mát phù hợp cho bé.', 'summary': 'Tã Quần Bobby Gói Cực Đại L54', 'annotations': {'23': ['an toàn +', 'chất lượng +'], '29': ['other']}}",,,,,0,0,0,1,0,1,0
67,887977,giao hàng mỏng loại cũ mua 445k giá_cả hợp kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 2688, 'comment': 'Giao hàng nhanh,bỉm mỏng hơn loại cũ.Mình mua 445k giá cả hợp lý', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['giá +', 'ship +'], '28': ['chất lượng +', 'giá +', 'ship +']}}",,,,,1,1,0,1,0,0,0
68,887976,mua ủng_hộ tiếp kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 13851, 'comment': 'đã mua nhiều lần. sẽ ủng hộ tiếp tục', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['other'], '30': ['an toàn +']}}",,,,,0,0,0,0,0,0,1
69,887975,giá 50 % mua nhìu bé dần hạn hơi cũ bao_bì sản_phẩm tốt ủng kì hài_lòng,"[{'label': 328, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 13637, 'comment': 'giá giảm 50%, mình mua nhìu cho bé dùng dần, date hơi cũ nhưng bao bì mới, sp vẫn dùng tốt, sẽ tiếp tục ủng hộ', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['an toàn +', 'chất lượng +', 'giá +'], '30': ['chất lượng +', 'an toàn -', 'giá +']}}",,,,,0,1,0,1,0,1,0
70,887974,oke lam kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 13585, 'comment': 'ok lam shop', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['typo', 'other'], '30': ['other']}}",,,,,0,0,0,0,0,0,1
71,887973,thấm hút kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 13813, 'comment': 'dùng thấm hút tốt', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['chất lượng +'], '30': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
