,id,text,annotations,meta,annotation_approver,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
10,891142,đóng_gói cẩn_thận thử,"[{'label': 334, 'user': 15}]","{'review_id': 841, 'comment': 'Đóng gói cẩn thận mới nhận đang dùng thử', 'annotations': {'18': ['ship +'], '22': ['other']}}",,0,0,0,1,0,0,0,0,0
12,891140,máy đẹp ngon chức_năng hoạt_động ổn_định shop giao hàng nhanh nhân_viên tư_vấn nhiệt_tình an_tâm sản_phẩm shop,"[{'label': 344, 'user': 15}, {'label': 340, 'user': 15}, {'label': 342, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 2356, 'comment': 'Máy rất đẹp, xài ngon .tất cả các chức năng hoạt động rất ổn định, shop giao hàng nhanh nhân viên tư vấn nhiệt tình, mình rất an tâm khi sử dụng sản phẩm của shop', 'annotations': {'16': ['dịch vụ +', 'ship +', 'hiệu năng +', 'mẫu mã +'], '21': ['cấu hình +', 'mẫu mã +']}}",,0,1,1,1,0,0,1,0,0
13,891139,đóng_gói sản_phẩm đẹp chắc_chắn điện_thoại đẹp cảm_nhận ban_đầu máy nhanh nóng tạm ổn giá tốt,"[{'label': 332, 'user': 15}, {'label': 344, 'user': 15}, {'label': 343, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 1267, 'comment': 'Đóng gói sản phẩm đẹp và chắc chắn. Điện thoại đẹp, cảm nhận ban đầu xài thấy máy nhanh nóng, còn lại thấy tạm ổn. Giá tốt.', 'annotations': {'24': ['hiệu năng -', 'mẫu mã +', 'ship +'], '26': ['mẫu mã +', 'ship +']}}",,0,1,1,1,1,0,0,0,0
14,891138,máy ful box đầy_đủ phụ_kiện như shop mô_tả chất_lượng máy tốt cấu_hình mạnh game lướt web mượt hài_lòng shop phục_vụ nhiệt_tình_nhân_viên vui_vẻ chuyên_nghiệp giới_thiệu bạn_bè người_thân ủng_hộ shop,"[{'label': 346, 'user': 15}, {'label': 336, 'user': 15}, {'label': 340, 'user': 15}, {'label': 344, 'user': 15}, {'label': 342, 'user': 15}]","{'review_id': 2298, 'comment': 'Máy full box và đầy đủ phụ kiện như shop mô tả. chất lượng máy rất tốt. cấu hình mạnh, chơi game lướt web rất mượt. mình rất hài lòng shop phục vụ nhiệt tình nhân viên vui vẻ và chuyên nghiệp,, sẽ giới thiệu bạn bè người thân ủng hộ shop ..', 'annotations': {'16': ['dịch vụ +', 'hiệu năng +', 'cấu hình +', 'phụ kiện +'], '21': ['hiệu năng +', 'cấu hình +', 'mẫu mã +']}}",,1,1,1,0,0,0,1,1,0
15,891137,hàng đẹp đóng_gói cẩn_thận,"[{'label': 344, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 2850, 'comment': 'Hàng đẹp, đóng gói cẩn thận', 'annotations': {'16': ['mẫu mã +', 'ship +'], '21': ['trash']}}",,0,1,0,1,0,0,0,0,0
16,891136,tạm ổn màn_hình dăm máy 95 96 %,"[{'label': 347, 'user': 15}]","{'review_id': 2873, 'comment': 'Tạm ổn, màn hình dăm khá nhiều, máy mới khoảng 95 96%', 'annotations': {'16': ['other'], '21': ['mẫu mã -']}}",,1,0,0,0,0,0,0,0,0
18,891134,sản_phẩm_chất_lượng giá_thành đổi tư_vấn nhiệt_tình chế_độ hậu_mãi tốt mua sản_phẩm shop,"[{'label': 340, 'user': 15}]","{'review_id': 1667, 'comment': 'Sản phẩm chất lượng so với giá thành, đổi trả, tư vấn nhiệt tình, chế độ hậu mãi tốt, nói chung nên mua sản phẩm của shop', 'annotations': {'26': ['dịch vụ +'], '24': ['dịch vụ +']}}",,0,0,0,0,0,0,1,0,0
19,891133,shop giao hàng uy_tín chất_lượng sản_phẩm đúng như quảng_cáo test máy chức_năng cơ_bản ổn màn_hình cảm_ứng mượt mạng game lướt web êm_ái đều như mong_đợi giá_cả hợp_lý shop hài_lòng lắm giới_thiệu shop bạn_bè người_thân ủng_hộ,"[{'label': 332, 'user': 15}, {'label': 340, 'user': 15}, {'label': 342, 'user': 15}]","{'review_id': 385, 'comment': 'shop giao hàng rất uy tín, chất lượng sản phẩm đúng như quảng cáo, test máy các chức năng cơ bản ổn, màn hình cảm ứng mượt, lên mạng chơi game lướt web êm ái, tất cả đều như mong đợi của mình, giá cả hợp lý, shop đã làm mình hài lòng lắm, mình đã giới thiệu shop với bạn bè và người thân đến ủng hộ', 'annotations': {'18': ['giá +', 'hiệu năng +', 'dịch vụ +'], '22': ['hiệu năng +', 'dịch vụ +']}}",,0,0,1,0,1,0,1,0,0
20,891132,shop đóng_gói cẩn_thận hàng chất_lượng uy_tín đầy_đủ phụ_kiện,"[{'label': 336, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 580, 'comment': 'Shop đóng gói cẩn thận, hàng chất lượng uy tín, đầy đủ phụ kiện', 'annotations': {'18': ['phụ kiện +', 'ship +'], '22': ['phụ kiện +']}}",,0,0,0,1,0,0,0,1,0
21,891131,máy chuẩn nha anh_em shop giao hàng ok đúng hẹn chất_lượng máy tốt ngoại_hình đẹp cấu_hình ổn_định chức_năng chạy mượt màn_hình cảm_ứng nhạy màu_sắc_đẹp như mong đợ chiến game sướng pin trâu hài_lòng đánh 10 chất_lượng phục_vụ,"[{'label': 346, 'user': 15}, {'label': 338, 'user': 15}, {'label': 340, 'user': 15}, {'label': 342, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 2706, 'comment': 'máy chuẩn nha anh em. shop giao hàng rất ok. đúng hẹn, chất lượng máy tốt, ngoại hình đẹp, cấu hình ổn định, các chức năng chạy mượt, màn hình cảm ứng nhạy, màu sắc đẹp như mong đợ. Chiến game rất sướng, pin trâu. Nói chung mình rất hài lòng sắp đánh được 10 điểm về chất lượng và cách phục vụ', 'annotations': {'16': ['chính hãng +', 'dịch vụ +', 'hiệu năng +', 'cấu hình +', 'ship +'], '21': ['dịch vụ +', 'hiệu năng +', 'cấu hình +', 'mẫu mã +']}}",,1,0,1,1,0,1,1,0,0
22,891130,shop nhiệt_tình hàng tốt giá rẻ phục_vụ chu_đáo ... mua,"[{'label': 332, 'user': 15}, {'label': 340, 'user': 15}]","{'review_id': 747, 'comment': 'shop nhiệt tình , hàng tốt giá rẻ,phục vụ chu đáo ....rất thích và rất đáng mua', 'annotations': {'18': ['giá +', 'dịch vụ +'], '22': ['giá +', 'ship +', 'dịch vụ +']}}",,0,0,0,0,1,0,1,0,0
23,891129,cửa_hàng tiếp_nhận đơn giao hàng nhanh đóng_gói đẹp & đảm_bảo chất_lượng sản_phẩm tùy nsx quan_điểm ủng_hộ vsmart hàng chất giá tốt,"[{'label': 334, 'user': 15}]","{'review_id': 2670, 'comment': 'Cửa hàng tiếp nhận đơn và giao hàng rất nhanh, đóng gói đẹp & đảm bảo. Chất lượng sp tùy thuộc phía NSX, nhưng quan điểm cá nhân vẫn ủng hộ Vsmart, hàng chất giá tốt.', 'annotations': {'16': ['ship +'], '21': ['ship +']}}",,0,0,0,1,0,0,0,0,0
25,891127,sản_phẩm_chất_lượng giao hàng nhanh,"[{'label': 334, 'user': 15}]","{'review_id': 1700, 'comment': 'Sản phẩm chất lượng. Giao hàng nhanh.', 'annotations': {'26': ['ship +'], '24': ['ship +']}}",,0,0,0,1,0,0,0,0,0
27,891125,không chê shop phục_vụ tốt đóng_gói chắc_chắn chống sốc dày shop nhanh mua ủng_hộ shop 100 % hãng đầy_đủ phù_kiện shop 10,"[{'label': 334, 'user': 15}, {'label': 340, 'user': 15}, {'label': 338, 'user': 15}, {'label': 336, 'user': 15}]","{'review_id': 1378, 'comment': 'ko có thể chê dc shop phục vụ tốt đóng gói rất chắc chắn chống sốc dày shop hỗ trợ nhanh các bạn nên mua ủng hộ cho shop 100% chính hãng đầy đủ phù kiện cho shop 100 sao luôn', 'annotations': {'24': ['phụ kiện +', 'chính hãng +', 'ship +'], '26': ['phụ kiện +', 'chính hãng +', 'ship +', 'dịch vụ +']}}",,0,0,0,1,0,1,1,1,0
28,891124,sản ok k chê đc tks shop không tặng kính cường bùn xíu,"[{'label': 331, 'user': 15}]","{'review_id': 407, 'comment': 'Sản ok..k chê vào đâu đc\nTks shop\nMà k tặng kính cường lực...hơi bùn xíu', 'annotations': {'18': ['typo'], '22': ['trash']}}",,0,0,0,0,0,0,0,0,1
29,891123,chất_lượng sản_phẩm giá tiền không đòi_hỏi v,"[{'label': 332, 'user': 15}]","{'review_id': 71, 'comment': 'Chất lượng sản phẩm phù hợp với giá tiền không đòi hỏi nhiều vvvvv', 'annotations': {'18': ['giá +'], '22': ['giá +']}}",,0,0,0,0,1,0,0,0,0
30,891122,không mua hàng shop mua máy sạc 20 phút sập liên_hệ shop im_re không thèm rep trừ khách_hàng hoàn hàng khiếu_nại không đổi - mô_tả ghi hoàn_trả 30,"[{'label': 331, 'user': 15}]","{'review_id': 2513, 'comment': 'Mọi người không nên mua hàng tại shop này nhé. Mua máy về sạc đầy dùng 20 phút là gần sập nguồn. Liên hệ shop hỗ trợ thì im re không thèm rep. \n - Sau Khách hàng yêu cầu hoàn hàng thì vào khiếu nại không cho đổi trả. \n- Trong khi mô tả ghi hoàn trả 30 ngày nếu có vấn đề.', 'annotations': {'16': ['dịch vụ -', 'cấu hình -'], '21': ['cấu hình -', 'dịch vụ -']}}",,0,0,0,0,0,0,0,0,1
31,891121,tốt hàng hãng nguyên seal,"[{'label': 338, 'user': 15}]","{'review_id': 2578, 'comment': 'Tốt. Hàng chính hãng, nguyên seal.', 'annotations': {'16': ['chính hãng +'], '21': ['trash']}}",,0,0,0,0,0,1,0,0,0
32,891120,9 trải nghiệm xz1 màu xanh au hộp đầy_đủ máy sạc dây sạc tai_nghe ốp dẻo phiếu hướng_dẫn hình_thức như ảnh shop chụp tính_năng ok nhanh mạnh ( mi 5x ) hài_lòng pin màn vệt ổn tầm tiền,"[{'label': 336, 'user': 15}, {'label': 347, 'user': 15}, {'label': 342, 'user': 15}]","{'review_id': 1466, 'comment': '9 ngày trải nghiệm. XZ1 của tôi màu xanh, của AU, hộp đầy đủ máy, sạc, dây sạc, tai nghe, ốp dẻo, phiếu hướng dẫn. Hình thức như ảnh shop chụp. Mọi tính năng OK, nhanh, mạnh (so với Mi 5X tôi đang dùng). HÀI LÒNG. Pin trong ngày, màn có vài vệt sáng. ỔN so tầm tiền.', 'annotations': {'26': ['mẫu mã +', 'cấu hình -', 'hiệu năng +', 'phụ kiện +'], '24': ['hiệu năng +', 'phụ kiện +']}}",,1,0,1,0,0,0,0,1,0
34,891118,hàng chất_lượng thank_shop,"[{'label': 330, 'user': 15}]","{'review_id': 2047, 'comment': 'Hàng chất lượng. Thank shop', 'annotations': {'21': ['trash'], '16': ['other']}}",,0,0,0,0,0,0,0,0,0
36,891116,sản_phẩm hãng ngon_lành cành đào,"[{'label': 338, 'user': 15}]","{'review_id': 1148, 'comment': 'Sản phẩm chính hãng Digiworld, ngon lành cành đào', 'annotations': {'24': ['chính hãng +'], '26': ['chính hãng +']}}",,0,0,0,0,0,1,0,0,0
37,891115,shop nhiệt_tình,"[{'label': 330, 'user': 15}]","{'review_id': 1262, 'comment': 'Shop rất nhiệt tình.', 'annotations': {'24': ['dịch vụ +'], '26': ['dịch vụ +']}}",,0,0,0,0,0,0,0,0,0
39,891113,giao sản_phẩm mô_tả quản_cáo đt giao điện_thoại cũ trầy camera xước màn_hình khóa màn_hình dòng nhắn_tin shop không phản_hồi,"[{'label': 347, 'user': 15}, {'label': 345, 'user': 15}, {'label': 341, 'user': 15}]","{'review_id': 2269, 'comment': 'Giao sản phẩm khác hoàn toàn với mô tả. Quản cáo ĐT mới giao đt cũ, trầy camera, xước màn hình, khóa màn hình,. Khác dòng. Nhắn tin shop không phản hồi.', 'annotations': {'16': ['mẫu mã -', 'dịch vụ -'], '21': ['dịch vụ -']}}",,1,1,0,0,0,0,1,0,0
40,891112,sản_phẩm ok đóng_gói kỹ giao hàng nhanh ủng_hộ shop tiếp,"[{'label': 334, 'user': 15}]","{'review_id': 210, 'comment': 'Sản phẩm ok, đóng gói rất kỹ và chắc giao hàng cũng nhanh nữa, sau sẽ ủng hộ shop tiếp', 'annotations': {'18': ['ship +'], '22': ['ship +', 'dịch vụ +']}}",,0,0,0,1,0,0,0,0,0
42,891110,máy đẹp nguyên niêm_phong chạy mượt lắm shop 5,"[{'label': 338, 'user': 15}, {'label': 344, 'user': 15}, {'label': 342, 'user': 15}]","{'review_id': 2214, 'comment': 'Máy đẹp nguyên seal chạy mượt lắm cho shop 5 sao', 'annotations': {'16': ['hiệu năng +', 'mẫu mã +', 'chính hãng +'], '21': ['hiệu năng +', 'mẫu mã +']}}",,0,1,1,0,0,1,0,0,0
43,891109,hôm_nay ipad 4 hàng_y hình 97 % móp góc chút_xíu xước nhẹ 1đường máy ok như pin 3ngày pin phần_mềm trước_mắt ok ok mua 1máy đăng quảng_cáo dùm shop 5 * tư_vấn nhiệt_tình,"[{'label': 345, 'user': 15}, {'label': 340, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 341, 'comment': 'Tới hôm nay mới đánh giá ipad 4 . Hàng y hình 97% chỉ móp góc chút xíu , và xước nhẹ 1đường nhỏ sau máy ,ngoài ra OK như mới ,pin xài 3ngày mới hết pin ..phần mềm trước mắt OK hết .sẽ xài Tới cuối tháng nếu OK mua thêm 1máy nữa. Và Đăng Facebook quảng cáo dùm shop .5***** cho tư vấn nhiệt tình.', 'annotations': {'18': ['dịch vụ +', 'cấu hình +'], '22': ['mẫu mã -']}}",,1,1,0,0,0,0,1,0,0
44,891108,amazing gút chóp,"[{'label': 330, 'user': 15}]","{'review_id': 795, 'comment': 'Amazing gút chóp', 'annotations': {'18': ['trash'], '22': ['trash']}}",,0,0,0,0,0,0,0,0,0
46,891106,4 loa nghe tuyệt_vời,"[{'label': 346, 'user': 15}]","{'review_id': 2486, 'comment': '4 loa nghe tuyệt vời', 'annotations': {'16': ['cấu hình +'], '21': ['cấu hình +']}}",,1,0,0,0,0,0,0,0,0
47,891105,đóng_gói sản_phẩm cẩn_thận sản_phẩm đúng mô_tả chất_lượng sản_phẩm tuyệt_vời điện_thoại không kèm tai_nghe,"[{'label': 337, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 1855, 'comment': 'Đóng gói sản phẩm cẩn thận, sản phẩm đúng với mô tả, chất lượng sản phẩm tuyệt vời, điện thoại không kèm tai nghe', 'annotations': {'26': ['phụ kiện -', 'ship +'], '24': ['phụ kiện -', 'ship +']}}",,0,0,0,1,0,0,0,1,0
48,891104,shop uy_tín giao hàng nhanh đúng chất_lượng test chức_năng ổn nghe gọi ok ứng_dụng hoạt_động tốt màn_hình đẹp màu_sắc rực_rỡ như mong_đợi vừa_ý hài giới_thiệu bạn_bè người_thân ủng_hộ an_tâm sản_phẩm shop ri,"[{'label': 342, 'user': 15}, {'label': 334, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 1101, 'comment': '\nshop uy tín giao hàng nhanh và đúng chất lượng, test qua các chức năng ổn, nghe gọi ok,phần ứng dụng  hoạt động tốt, màn hình sáng đẹp, màu sắc rực rỡ, như mong đợi, nói chung mình rất vừa ý và hài lòng,\nmình sẽ giới thiệu bạn bè người thân ủng hộ shop,anh em an tâm khi sử dụng sản phẩm của shop,ri', 'annotations': {'24': ['cấu hình +', 'ship +'], '26': ['cấu hình +', 'hiệu năng +', 'ship +']}}",,1,0,1,1,0,0,0,0,0
49,891103,hàng tư_vấn nhiệt hãng nguyên niêm_phong,"[{'label': 340, 'user': 15}, {'label': 338, 'user': 15}]","{'review_id': 1661, 'comment': 'Hàng đã nhận\nShop tư vấn nhiệt tình\nHàng chính hãng nguyên seal của digiworl', 'annotations': {'26': ['trash'], '24': ['mẫu mã +', 'chính hãng +', 'dịch vụ +']}}",,0,0,0,0,0,1,1,0,0
50,891102,máy shop,"[{'label': 331, 'user': 15}]","{'review_id': 2154, 'comment': 'Đây là máy mà shop nói mới 90,95%.cho mn xem và tự đánh giá', 'annotations': {'16': ['other'], '21': ['trash']}}",,0,0,0,0,0,0,0,0,1
52,891100,ok lắm giao hàng nhanh máy tốt chức_năng hoạt_động ổn shop nhiệt_tình điện_thoại như shop quảng_cáo hài_lòng chúc shop nhìu,"[{'label': 340, 'user': 15}, {'label': 342, 'user': 15}, {'label': 334, 'user': 15}]","{'review_id': 617, 'comment': 'OK    lắm ạ . giao hàng nhanh , máy sài tốt . .Các chức năng hoạt động ổn . shop nhiệt tình . Điện thoại như shop quảng cáo , Nói chung là hài lòng . chúc shop nhìu khách.', 'annotations': {'18': ['dịch vụ +', 'hiệu năng +', 'ship +'], '22': ['hiệu năng +', 'ship +', 'dịch vụ +']}}",,0,0,1,1,0,0,1,0,0
53,891099,đẹp shop hàng đúng hãng chức_năng hoạt_động tốt màn_hình cảm_ứng nhạy màu_sắc rực_rỡ camera chụp ảnh đẹp hoàn_hảo lắm shop giao hàng chất_lượng đúng như quảng_cáo an_tâm sản_phẩm shop,"[{'label': 338, 'user': 15}, {'label': 344, 'user': 15}, {'label': 342, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 2116, 'comment': 'Đẹp quá shop ơi, hàng đúng chính Hãng luôn, các chức năng hoạt động tốt, màn hình cảm ứng nhạy, màu sắc rực rỡ, camera chụp ảnh đẹp, nói chung hoàn hảo lắm, shop giao hàng chất lượng đúng như quảng cáo, mình rất an tâm khi sử dụng sản phẩm của shop,', 'annotations': {'16': ['mẫu mã +', 'cấu hình +', 'chính hãng +'], '21': ['cấu hình +', 'hiệu năng +', 'chính hãng +']}}",,1,1,1,0,0,1,0,0,0
54,891098,máy đẹp mua shop,"[{'label': 344, 'user': 15}]","{'review_id': 2108, 'comment': 'Máy đẹp. Đã đặt mua thêm rồi nhé shop', 'annotations': {'16': ['mẫu mã +'], '21': ['mẫu mã +']}}",,0,1,0,0,0,0,0,0,0
55,891097,hài_lòng sản_phẩm shop máy đẹp hoạt_động ổn_định cấu_hình mạnh màn_hình cảm_ứng nhạy màu_sắc rực_rỡ như mong_đợi shop giao hàng nhanh đúng hẹn chất_lượng đúng như quảng_bá đồng_tiền shop,"[{'label': 332, 'user': 15}, {'label': 344, 'user': 15}, {'label': 342, 'user': 15}, {'label': 334, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 1001, 'comment': 'Thật hài lòng khi nhận được sản phẩm của shop ,máy đẹp quá, hoạt động ổn định, cấu hình mạnh, màn hình cảm ứng nhạy màu sắc rực rỡ như mong đợi, shop giao hàng nhanh đúng hẹn, chất lượng đúng như quảng bá, thật đáng đồng tiền, cảm ơn shop nhé', 'annotations': {'18': ['ship +', 'cấu hình +', 'hiệu năng +', 'mẫu mã +'], '24': ['ship +', 'cấu hình +', 'hiệu năng +', 'mẫu mã +'], '26': ['ship +', 'hiệu năng +', 'cấu hình +', 'mẫu mã +']}}",,1,1,1,1,1,0,0,0,0
56,891096,hoàn_thiện sản_phẩm đẹp màu_sắc rực_rỡ cấu_hình mạnh_mẽ chức_năng cơ_bản hoạt_động tốt ổn_định màn_hình đẹp âm_thanh cảm_ứng lướt êm nhạy sản_phẩm hoàn_hảo shop giao hàng đúng như quảng_cáo hài_lòng vừa_ý,"[{'label': 344, 'user': 15}, {'label': 342, 'user': 15}, {'label': 346, 'user': 15}]","{'review_id': 1532, 'comment': 'Rất hoàn thiện, sản phẩm đẹp màu sắc rực rỡ, cấu hình mạnh mẽ, các chức năng cơ bản hoạt động rất tốt và ổn định, màn hình sáng đẹp  âm thanh rất hay, cảm ứng lướt êm nhạy, sản phẩm thật hoàn hảo, shop giao hàng rất đúng như quảng cáo, mình thật hài lòng vừa ý,', 'annotations': {'26': ['cấu hình +', 'hiệu năng +', 'mẫu mã +'], '24': ['hiệu năng +', 'mẫu mã +', 'cấu hình +']}}",,1,1,1,0,0,0,0,0,0
57,891095,máy ok chút shop tư_vấn nhiệt_tình ủng_hộ shop dài_dài : 3,"[{'label': 340, 'user': 15}]","{'review_id': 1612, 'comment': 'Máy quá ok, có chút vấn đề nhỏ nhưng shop tư vấn nhiệt tình, ủng hộ shop dài dài :3', 'annotations': {'26': ['dịch vụ +'], '24': ['dịch vụ +']}}",,0,0,0,0,0,0,1,0,0
58,891094,điện_thoại nguyên hộp mượt shop rep hơi không,"[{'label': 344, 'user': 15}, {'label': 342, 'user': 15}]","{'review_id': 1142, 'comment': 'Điện thoại nguyên hộp, xài mượt. shop rep hơi lâu nhưng ko sao', 'annotations': {'24': ['hiệu năng +', 'mẫu mã +'], '26': ['chính hãng +', 'hiệu năng +']}}",,0,1,1,0,0,0,0,0,0
59,891093,hàng tốt lắm mong hậu_mãi tốt như ủng_hộ lâu_dài,"[{'label': 330, 'user': 15}]","{'review_id': 2358, 'comment': 'Hàng tốt lắm mọi người ạ. Mong hậu mãi cũng tốt như thế. Sẽ ủng hộ lâu dài.', 'annotations': {'16': ['other'], '21': ['trash']}}",,0,0,0,0,0,0,0,0,0
63,891089,mua giao kèo kỹ hàng màn_hình nứt nhoe ko shop giao báo shop chưa liên_lạc !,"[{'label': 331, 'user': 15}]","{'review_id': 1597, 'comment': 'Trước khi mua giao kèo kỹ càng\nĐến lúc nhận hàng màn hình nứt nhoe \nKo biết do shop hay giao hàng!\nĐã báo với shop nhưng chưa ai liên lạc lại!', 'annotations': {'26': ['dịch vụ -', 'ship -', 'mẫu mã -'], '24': ['other']}}",,0,0,0,0,0,0,0,0,1
64,891088,sản_phẩm tốt nha mua không tiếc chút,"[{'label': 331, 'user': 15}]","{'review_id': 1966, 'comment': 'Sản phẩm tốt nha, nên mua k tiếc chút nào đâu.', 'annotations': {'26': ['other'], '24': ['other']}}",,0,0,0,0,0,0,0,0,1
